Node ID	No Taxa	Original BL	No different from original	Pct time scaled	Mean Scalar	Mode Scalar	Median Scalar	SD Scalar	Mean SigV	Mode SigV	Median SigV	SD SigV	Mean DeltaB	Mode DeltaB	Median DeltaB	SD DeltaB	Mean DeltaV	Mode DeltaV	Median DeltaV	SD DeltaV	Taxa List	
21	36	1.314720	117	11.700000	2.236150	0.993703	1.000000	5.058664	0.001016	0.000466	0.000509	0.002304	0.000663	0.000593	0.000628	0.000221	0.001335	0.000613	0.000669	0.003029	Abyssosaurus_nataliae,Albertonectes_vanderveldei,Aristonectes_quiriquinensis,Attenborosaurus_conybeari,Brancasaurus_brancai,Callawayasaurus_colombiensis,Colymbosaurus_megadeirus,Cryptoclidus_eurymerus,Dolichorhynchops_bonneri,Dolichorhynchops_osborni,Edgarosaurus_muddi,Eoplesiosaurus_antiquior,Hydrotherosaurus_alexandrae,Kaiwhekea_katiki,Libonectes_morgani,Manemergus_anguirostris,Mauriciosaurus_fernandezi,Microcleidus_brachypterygius,Microcleidus_homalospondylus,Microcleidus_tournemirensis,Muraenosaurus_leedsii,Nakonanectes_bradti,Nichollssaura_borealis,Ophthalmothule_cryostea,Plesiopterys_wildi,Plesiosaurus_dolichodeirus,Polycotylus_latipinnis,Seeleyosaurus_guilelmiimperatoris,Styxosaurus_SDSM_451,Styxosaurus_browni,Styxosaurus_rezaci,Thalassomedon_haningtoni,Thililua_longicollis,Tricleidus_seeleyi,Trinacromerum_bentonianum,Vegasaurus_molyi	
22	1	16.183817	49	4.900000	1.069492	0.997799	1.000000	0.561581	0.000526	0.000445	0.000486	0.000265	0.008162	0.007295	0.007736	0.002717	0.008505	0.007207	0.007857	0.004289	Attenborosaurus_conybeari	
23	35	4.374385	107	10.700000	1.683069	0.981888	1.000000	3.448405	0.000830	0.000458	0.000498	0.001792	0.002206	0.001972	0.002091	0.000734	0.003631	0.002002	0.002178	0.007839	Abyssosaurus_nataliae,Albertonectes_vanderveldei,Aristonectes_quiriquinensis,Brancasaurus_brancai,Callawayasaurus_colombiensis,Colymbosaurus_megadeirus,Cryptoclidus_eurymerus,Dolichorhynchops_bonneri,Dolichorhynchops_osborni,Edgarosaurus_muddi,Eoplesiosaurus_antiquior,Hydrotherosaurus_alexandrae,Kaiwhekea_katiki,Libonectes_morgani,Manemergus_anguirostris,Mauriciosaurus_fernandezi,Microcleidus_brachypterygius,Microcleidus_homalospondylus,Microcleidus_tournemirensis,Muraenosaurus_leedsii,Nakonanectes_bradti,Nichollssaura_borealis,Ophthalmothule_cryostea,Plesiopterys_wildi,Plesiosaurus_dolichodeirus,Polycotylus_latipinnis,Seeleyosaurus_guilelmiimperatoris,Styxosaurus_SDSM_451,Styxosaurus_browni,Styxosaurus_rezaci,Thalassomedon_haningtoni,Thililua_longicollis,Tricleidus_seeleyi,Trinacromerum_bentonianum,Vegasaurus_molyi	
24	1	7.461592	66	6.600000	1.198132	0.985283	1.000000	2.066492	0.000577	0.000452	0.000490	0.000801	0.003763	0.003363	0.003567	0.001253	0.004307	0.003371	0.003656	0.005975	Eoplesiosaurus_antiquior	
25	34	4.782979	77	7.700000	1.348487	1.012077	1.000000	2.536917	0.000642	0.000441	0.000489	0.001105	0.002412	0.002156	0.002286	0.000803	0.003070	0.002109	0.002341	0.005287	Abyssosaurus_nataliae,Albertonectes_vanderveldei,Aristonectes_quiriquinensis,Brancasaurus_brancai,Callawayasaurus_colombiensis,Colymbosaurus_megadeirus,Cryptoclidus_eurymerus,Dolichorhynchops_bonneri,Dolichorhynchops_osborni,Edgarosaurus_muddi,Hydrotherosaurus_alexandrae,Kaiwhekea_katiki,Libonectes_morgani,Manemergus_anguirostris,Mauriciosaurus_fernandezi,Microcleidus_brachypterygius,Microcleidus_homalospondylus,Microcleidus_tournemirensis,Muraenosaurus_leedsii,Nakonanectes_bradti,Nichollssaura_borealis,Ophthalmothule_cryostea,Plesiopterys_wildi,Plesiosaurus_dolichodeirus,Polycotylus_latipinnis,Seeleyosaurus_guilelmiimperatoris,Styxosaurus_SDSM_451,Styxosaurus_browni,Styxosaurus_rezaci,Thalassomedon_haningtoni,Thililua_longicollis,Tricleidus_seeleyi,Trinacromerum_bentonianum,Vegasaurus_molyi	
26	1	8.382364	72	7.200000	1.208519	0.977332	1.000000	2.040973	0.000596	0.000453	0.000486	0.000944	0.004228	0.003778	0.004007	0.001407	0.004994	0.003796	0.004074	0.007916	Plesiosaurus_dolichodeirus	
27	33	12.723882	82	8.200000	1.386108	1.025110	1.000000	3.218510	0.000668	0.000442	0.000490	0.001462	0.006417	0.005735	0.006082	0.002136	0.008503	0.005628	0.006235	0.018602	Abyssosaurus_nataliae,Albertonectes_vanderveldei,Aristonectes_quiriquinensis,Brancasaurus_brancai,Callawayasaurus_colombiensis,Colymbosaurus_megadeirus,Cryptoclidus_eurymerus,Dolichorhynchops_bonneri,Dolichorhynchops_osborni,Edgarosaurus_muddi,Hydrotherosaurus_alexandrae,Kaiwhekea_katiki,Libonectes_morgani,Manemergus_anguirostris,Mauriciosaurus_fernandezi,Microcleidus_brachypterygius,Microcleidus_homalospondylus,Microcleidus_tournemirensis,Muraenosaurus_leedsii,Nakonanectes_bradti,Nichollssaura_borealis,Ophthalmothule_cryostea,Plesiopterys_wildi,Polycotylus_latipinnis,Seeleyosaurus_guilelmiimperatoris,Styxosaurus_SDSM_451,Styxosaurus_browni,Styxosaurus_rezaci,Thalassomedon_haningtoni,Thililua_longicollis,Tricleidus_seeleyi,Trinacromerum_bentonianum,Vegasaurus_molyi	
28	4	1.795523	114	11.400000	1.417200	0.983518	1.000000	2.386184	0.000691	0.000456	0.000494	0.001269	0.000906	0.000809	0.000858	0.000301	0.001240	0.000819	0.000887	0.002278	Microcleidus_brachypterygius,Microcleidus_homalospondylus,Microcleidus_tournemirensis,Seeleyosaurus_guilelmiimperatoris	
29	3	2.578331	143	14.300000	1.635785	0.995477	1.000000	2.779431	0.000793	0.000455	0.000502	0.001385	0.001300	0.001162	0.001232	0.000433	0.002044	0.001173	0.001294	0.003571	Microcleidus_brachypterygius,Microcleidus_homalospondylus,Microcleidus_tournemirensis	
30	1	3.952771	190	19.000000	2.607854	1.151402	1.000000	9.494877	0.001254	0.000510	0.000520	0.005615	0.001994	0.001782	0.001889	0.000664	0.004956	0.002014	0.002055	0.022194	Microcleidus_tournemirensis	
